Transaction_ID,Card_ID,Transaction_Amount,Merchant,Transaction_Type,Average_Transaction_Per_Day,Accumulated_Transactions,Average_Transaction_Amount,Accumulated_Amount,Transaction_Location,Previous_Location,Time_Difference (min),Is_Fraudulent
T661394,C51849,866.12,Walmart,E-Commerce,37,23,595.78,47.49,Ecuador,Ecuador,0.0,0
T760675,C94107,355.32,Zales,E-Commerce,1,25,337.97,957.07,Ecuador,Ecuador,9.0,0
T749399,C61653,722.07,eBay,E-Commerce,21,7,155.22,187.09,Ecuador,Ecuador,13.0,0
T801993,C27765,570.04,Cartier,E-Commerce,6,34,122.4,101.54,Chile,Ecuador,3.0,1
T928474,C33499,873.32,Amazon,E-Commerce,16,14,97.77,551.9,Ecuador,Chile,92.0,0
T530918,C68781,124.71,Epic Games,E-Commerce,36,12,694.05,877.01,Ecuador,Ecuador,95.0,0
T505726,C22220,120.07,Amazon Gift Cards,E-Commerce,36,37,661.1,653.34,Ecuador,Ecuador,40.0,0
T456033,C36217,441.57,Cartier,E-Commerce,1,4,985.36,246.47,Ecuador,Ecuador,33.0,0
T109280,C34257,365.79,Zales,E-Commerce,30,20,714.78,769.46,Ecuador,Ecuador,112.0,0
T459831,C20632,322.69,Amazon Gift Cards,E-Commerce,13,19,70.99,494.23,Ecuador,Ecuador,3.0,0
T759554,C86203,304.8,Delta Airlines,E-Commerce,8,21,879.83,596.35,Ecuador,Ecuador,7.0,0
T858963,C46263,768.4,Walmart,E-Commerce,2,15,930.81,614.84,Ecuador,Ecuador,81.0,0
T456583,C89884,687.62,eBay,E-Commerce,8,14,114.02,76.81,Ecuador,Ecuador,21.0,0
T124517,C64542,892.28,G2A,E-Commerce,5,30,254.36,795.9,Ecuador,Ecuador,87.0,0
T479466,C74266,812.01,Epic Games,E-Commerce,9,11,977.25,359.14,Ecuador,Ecuador,1.0,0
T517894,C17669,480.24,Epic Games,E-Commerce,35,19,598.95,305.54,India,Ecuador,76.0,0
T409054,C56924,425.24,Zales,E-Commerce,28,4,271.36,469.56,India,India,71.0,0
T756331,C36602,199.14,Walmart,E-Commerce,18,33,708.31,975.45,India,India,73.0,0
T862283,C37727,120.51,LATAM,E-Commerce,23,12,20.61,962.7,Ecuador,India,115.0,0
T305331,C21611,513.76,Tiffany & Co.,E-Commerce,9,22,575.52,511.99,Ecuador,Ecuador,73.0,0
T457688,C89986,648.73,American Airlines,E-Commerce,31,37,428.66,997.45,Ecuador,Ecuador,99.0,0
T443128,C61268,489.79,Zales,E-Commerce,31,1,795.03,492.16,Ecuador,Ecuador,105.0,0
T641305,C96834,768.07,Epic Games,E-Commerce,12,20,733.47,95.35,Ecuador,Ecuador,78.0,0
T917314,C48290,722.2,Amazon,E-Commerce,19,3,18.11,546.11,Ecuador,Ecuador,49.0,0
T745423,C85366,827.19,Zephora,E-Commerce,11,19,769.11,55.95,Ecuador,Ecuador,110.0,0
T553486,C95545,219.86,Zales,E-Commerce,2,32,714.89,920.96,Ecuador,Ecuador,106.0,0
T654161,C12145,131.54,Steam,E-Commerce,24,2,111.33,818.64,Ecuador,Ecuador,119.0,0
T489230,C86252,347.44,Epic Games,E-Commerce,6,28,237.0,24.5,Ecuador,Ecuador,10.0,0
T951675,C98342,925.5,Amazon,E-Commerce,29,20,263.54,896.87,Ecuador,Ecuador,110.0,0
T596012,C38938,582.61,Walmart,E-Commerce,9,12,987.43,536.13,Ecuador,Ecuador,18.0,0
T345968,C12915,186.0,Amazon Gift Cards,E-Commerce,13,7,228.5,552.24,Ecuador,Ecuador,22.0,0
T464808,C46037,608.46,Amazon,E-Commerce,12,2,209.53,180.97,Ecuador,Ecuador,32.0,0
T265280,C82344,785.61,Cartier,E-Commerce,1,29,709.4,681.32,Ecuador,Ecuador,75.0,0
T317936,C18533,26.46,Zephora,E-Commerce,26,16,336.46,119.3,Ecuador,Ecuador,86.0,0
T908774,C55483,157.46,Zales,E-Commerce,3,38,534.45,230.53,Ecuador,Ecuador,91.0,0
